station,valid,elevation,tmpc,relh,drct,sped
FTTA,2012-02-29 09:00,365.00,35.00,15.49,0.00,0.00
FTTA,2012-02-29 11:00,365.00,38.00,13.14,60.00,12.65
FTTA,2012-02-29 12:00,365.00,39.00,9.37,60.00,11.50
FTTA,2012-02-29 13:00,365.00,40.00,10.25,60.00,9.20
FTTA,2012-02-29 14:00,365.00,40.00,11.79,80.00,9.20
FTTA,2012-02-29 15:00,365.00,40.00,11.79,80.00,9.20
FTTA,2012-02-29 16:00,365.00,39.00,10.07,60.00,6.90
FTTA,2012-02-29 17:00,365.00,37.00,13.87,60.00,6.90
FTTA,2012-02-29 23:00,365.00,25.00,33.85,0.00,0.00
FTTA,2012-03-01 03:00,365.00,21.00,43.13,0.00,0.00
FTTA,2012-03-01 05:00,365.00,22.00,37.89,0.00,0.00
FTTA,2012-03-01 06:00,365.00,21.00,40.29,0.00,0.00
FTTA,2012-03-01 07:00,365.00,27.00,30.07,0.00,0.00
FTTA,2012-03-01 08:00,365.00,32.00,21.04,100.00,2.30
FTTA,2012-03-01 10:00,365.00,36.00,15.71,70.00,6.90
FTTA,2012-03-01 12:00,365.00,38.00,11.41,80.00,9.20
FTTA,2012-03-01 14:00,365.00,39.00,12.44,70.00,3.45
FTTA,2012-03-01 15:00,365.00,39.00,15.30,50.00,3.45
FTTA,2012-03-01 16:00,365.00,38.00,14.08,360.00,2.30
FTTA,2012-03-01 18:00,365.00,31.00,25.52,0.00,0.00
FTTA,2012-03-01 19:00,365.00,29.00,28.63,0.00,0.00
FTTA,2012-03-01 20:00,365.00,27.00,32.18,0.00,0.00
FTTA,2012-03-01 21:00,365.00,26.00,34.13,0.00,0.00
FTTA,2012-03-01 22:00,365.00,26.00,29.79,0.00,0.00
FTTA,2012-03-01 23:00,365.00,24.00,38.46,0.00,0.00
FTTA,2012-03-02 03:00,365.00,24.00,33.57,0.00,0.00
FTTA,2012-03-02 04:00,365.00,24.00,35.94,0.00,0.00
FTTA,2012-03-02 05:00,365.00,22.00,37.89,0.00,0.00
FTTA,2012-03-02 06:00,365.00,21.00,49.37,240.00,4.60
FTTA,2012-03-02 07:00,365.00,27.00,30.07,0.00,0.00
FTTA,2012-03-02 08:00,365.00,32.00,18.33,70.00,6.90
FTTA,2012-03-02 09:00,365.00,34.00,16.37,50.00,6.90
