station,valid,elevation,tmpc,relh,drct,sped
RPMZ,2012-01-01 00:00,6.00,M,M,M,M
RPMZ,2012-01-01 01:00,6.00,30.00,66.15,40.00,4.60
RPMZ,2012-01-01 02:00,6.00,33.00,59.24,40.00,4.60
RPMZ,2012-01-01 03:00,6.00,31.00,70.45,270.00,11.50
RPMZ,2012-01-01 04:00,6.00,31.00,70.45,270.00,6.90
RPMZ,2012-01-01 05:00,6.00,30.00,74.61,270.00,4.60
RPMZ,2012-01-01 06:00,6.00,31.00,66.35,180.00,11.50
RPMZ,2012-01-01 07:00,6.00,33.00,62.90,180.00,6.90
RPMZ,2012-01-01 08:00,6.00,32.00,62.68,180.00,4.60
RPMZ,2012-01-01 09:00,6.00,31.00,70.45,320.00,4.60
RPMZ,2012-01-01 10:00,6.00,M,M,0.00,0.00
RPMZ,2012-01-01 11:00,6.00,M,M,M,M
RPMZ,2012-01-01 12:00,6.00,M,M,M,M
RPMZ,2012-01-01 13:00,6.00,M,M,M,M
RPMZ,2012-01-01 14:00,6.00,M,M,M,M
RPMZ,2012-01-01 15:00,6.00,M,M,M,M
RPMZ,2012-01-01 16:00,6.00,M,M,M,M
RPMZ,2012-01-01 17:00,6.00,M,M,M,M
RPMZ,2012-01-01 18:00,6.00,26.00,94.23,0.00,0.00
RPMZ,2012-01-01 19:00,6.00,M,M,M,M
RPMZ,2012-01-01 20:00,6.00,M,M,M,M
RPMZ,2012-01-01 21:00,6.00,M,M,M,M
RPMZ,2012-01-01 22:00,6.00,25.00,94.19,0.00,0.00
RPMZ,2012-01-01 23:00,6.00,25.00,94.19,40.00,4.60
RPMZ,2012-01-02 00:00,6.00,27.00,83.66,40.00,4.60
RPMZ,2012-01-02 01:00,6.00,28.00,83.77,320.00,4.60
RPMZ,2012-01-02 02:00,6.00,31.00,66.35,90.00,4.60
RPMZ,2012-01-02 03:00,6.00,31.00,70.45,40.00,4.60
RPMZ,2012-01-02 04:00,6.00,M,M,M,M
RPMZ,2012-01-02 05:00,6.00,30.00,74.61,180.00,9.20
RPMZ,2012-01-02 06:00,6.00,32.00,70.63,180.00,6.90
RPMZ,2012-01-02 07:00,6.00,30.00,79.18,270.00,4.60
RPMZ,2012-01-02 08:00,6.00,29.00,79.04,290.00,4.60
RPMZ,2012-01-02 09:00,6.00,28.00,88.90,290.00,4.60
RPMZ,2012-01-02 10:00,6.00,27.00,88.83,0.00,0.00
RPMZ,2012-01-02 11:00,6.00,M,M,M,M
RPMZ,2012-01-02 12:00,6.00,26.00,94.23,0.00,0.00
RPMZ,2012-01-02 13:00,6.00,M,M,M,M
RPMZ,2012-01-02 14:00,6.00,M,M,M,M
RPMZ,2012-01-02 15:00,6.00,M,M,M,M
RPMZ,2012-01-02 16:00,6.00,M,M,M,M
RPMZ,2012-01-02 17:00,6.00,M,M,M,M
RPMZ,2012-01-02 18:00,6.00,25.00,94.19,0.00,0.00
RPMZ,2012-01-02 19:00,6.00,M,M,M,M
RPMZ,2012-01-02 20:00,6.00,M,M,M,M
RPMZ,2012-01-02 21:00,6.00,24.00,94.14,0.00,0.00
RPMZ,2012-01-02 22:00,6.00,M,M,M,M
RPMZ,2012-01-02 23:00,6.00,24.00,94.14,0.00,0.00
RPMZ,2012-01-03 00:00,6.00,27.00,83.66,0.00,0.00
RPMZ,2012-01-03 01:00,6.00,29.00,74.44,40.00,6.90
RPMZ,2012-01-03 02:00,6.00,30.00,70.27,40.00,6.90
RPMZ,2012-01-03 03:00,6.00,31.00,70.45,40.00,6.90
RPMZ,2012-01-03 04:00,6.00,32.00,70.63,40.00,4.60
RPMZ,2012-01-03 05:00,6.00,M,M,M,M
RPMZ,2012-01-03 06:00,6.00,M,M,M,M
RPMZ,2012-01-03 07:00,6.00,30.00,74.61,270.00,6.90
RPMZ,2012-01-03 08:00,6.00,30.00,74.61,270.00,6.90
RPMZ,2012-01-03 09:00,6.00,30.00,74.61,270.00,6.90
RPMZ,2012-01-03 10:00,6.00,29.00,74.44,270.00,4.60
RPMZ,2012-01-03 11:00,6.00,M,M,M,M
RPMZ,2012-01-03 12:00,6.00,M,M,M,M
RPMZ,2012-01-03 13:00,6.00,M,M,M,M
RPMZ,2012-01-03 14:00,6.00,M,M,M,M
RPMZ,2012-01-03 16:00,6.00,M,M,M,M
RPMZ,2012-01-03 17:00,6.00,M,M,M,M
RPMZ,2012-01-03 18:00,6.00,M,M,M,M
RPMZ,2012-01-03 19:00,6.00,M,M,M,M
RPMZ,2012-01-03 20:00,6.00,M,M,M,M
RPMZ,2012-01-03 21:00,6.00,25.00,94.19,0.00,0.00
RPMZ,2012-01-03 22:00,6.00,25.00,94.19,0.00,0.00
RPMZ,2012-01-03 23:00,6.00,25.00,94.19,0.00,0.00
RPMZ,2012-01-04 00:00,6.00,25.00,100.00,40.00,4.60
RPMZ,2012-01-04 01:00,6.00,27.00,83.66,0.00,0.00
RPMZ,2012-01-04 02:00,6.00,28.00,78.90,180.00,4.60
RPMZ,2012-01-04 03:00,6.00,29.00,79.04,180.00,4.60
RPMZ,2012-01-04 04:00,6.00,30.00,79.18,180.00,6.90
RPMZ,2012-01-04 05:00,6.00,31.00,74.77,180.00,6.90
RPMZ,2012-01-04 06:00,6.00,31.00,74.77,180.00,4.60
RPMZ,2012-01-04 07:00,6.00,30.00,79.18,180.00,4.60
RPMZ,2012-01-04 08:00,6.00,30.00,74.61,180.00,4.60
RPMZ,2012-01-04 09:00,6.00,29.00,79.04,270.00,4.60
RPMZ,2012-01-04 10:00,6.00,28.00,83.77,0.00,0.00
