station,valid,elevation,tmpc,relh,drct,sped
SBAF,2012-01-01 00:00,34.00,23.00,94.10,70.00,9.20
SBAF,2012-01-01 01:00,34.00,23.00,94.10,50.00,8.05
SBAF,2012-01-01 02:00,34.00,23.00,94.10,90.00,6.90
SBAF,2012-01-01 03:00,34.00,23.00,88.51,50.00,9.20
SBAF,2012-01-01 04:00,34.00,23.00,88.51,60.00,6.90
SBAF,2012-01-01 05:00,34.00,23.00,88.51,60.00,5.75
SBAF,2012-01-01 06:00,34.00,23.00,88.51,80.00,4.60
SBAF,2012-01-01 07:00,34.00,23.00,88.51,100.00,4.60
SBAF,2012-01-01 08:00,34.00,23.00,88.51,70.00,3.45
SBAF,2012-01-01 09:00,34.00,23.00,94.10,10.00,2.30
SBAF,2012-01-01 10:00,34.00,23.00,94.10,0.00,0.00
SBAF,2012-01-01 11:00,34.00,24.00,94.14,0.00,0.00
SBAF,2012-01-01 12:00,34.00,25.00,83.44,30.00,2.30
SBAF,2012-01-01 13:00,34.00,27.00,78.76,60.00,4.60
SBAF,2012-01-01 15:00,34.00,26.00,83.55,0.00,0.00
SBAF,2012-01-01 16:00,34.00,25.00,88.67,10.00,3.45
SBAF,2012-01-01 17:00,34.00,25.00,88.67,0.00,0.00
SBAF,2012-01-01 18:00,34.00,26.00,83.55,60.00,2.30
SBAF,2012-01-01 19:00,34.00,25.00,88.67,40.00,4.60
SBAF,2012-01-01 20:00,34.00,26.00,83.55,60.00,4.60
SBAF,2012-01-01 21:00,34.00,25.00,83.44,0.00,0.00
SBAF,2012-01-01 22:00,34.00,25.00,88.67,50.00,3.45
SBAF,2012-01-01 23:00,34.00,24.00,94.14,230.00,3.45
SBAF,2012-01-02 00:00,34.00,24.00,88.59,160.00,4.60
SBAF,2012-01-02 01:00,34.00,25.00,94.19,210.00,5.75
SBAF,2012-01-02 03:00,34.00,22.00,94.06,180.00,3.45
SBAF,2012-01-02 04:00,34.00,22.00,94.06,230.00,2.30
SBAF,2012-01-02 05:00,34.00,21.00,94.01,210.00,3.45
SBAF,2012-01-02 06:00,34.00,21.00,94.01,200.00,1.15
SBAF,2012-01-02 07:00,34.00,20.00,93.97,240.00,2.30
SBAF,2012-01-02 08:00,34.00,20.00,93.97,210.00,2.30
SBAF,2012-01-02 09:00,34.00,21.00,94.01,290.00,1.15
SBAF,2012-01-02 10:00,34.00,21.00,94.01,70.00,3.45
SBAF,2012-01-02 11:00,34.00,21.00,94.01,90.00,2.30
SBAF,2012-01-02 12:00,34.00,21.00,94.01,170.00,8.05
SBAF,2012-01-02 13:00,34.00,21.00,94.01,260.00,2.30
SBAF,2012-01-02 14:00,34.00,21.00,94.01,260.00,3.45
SBAF,2012-01-02 15:00,34.00,21.00,88.34,200.00,3.45
SBAF,2012-01-02 16:00,34.00,22.00,88.43,0.00,0.00
SBAF,2012-01-02 17:00,34.00,22.00,88.43,0.00,0.00
SBAF,2012-01-02 18:00,34.00,22.00,88.43,0.00,0.00
SBAF,2012-01-02 19:00,34.00,21.00,94.01,0.00,0.00
SBAF,2012-01-02 20:00,34.00,21.00,94.01,0.00,0.00
SBAF,2012-01-02 21:00,34.00,21.00,94.01,0.00,0.00
SBAF,2012-01-02 22:00,34.00,21.00,94.01,0.00,0.00
SBAF,2012-01-02 23:00,34.00,20.00,93.97,20.00,3.45
SBAF,2012-01-03 00:00,34.00,20.00,93.97,0.00,0.00
SBAF,2012-01-03 01:00,34.00,20.00,93.97,0.00,0.00
SBAF,2012-01-03 02:00,34.00,20.00,93.97,0.00,0.00
SBAF,2012-01-03 03:00,34.00,20.00,93.97,0.00,0.00
SBAF,2012-01-03 04:00,34.00,20.00,93.97,0.00,0.00
SBAF,2012-01-03 05:00,34.00,20.00,93.97,0.00,0.00
SBAF,2012-01-03 06:00,34.00,20.00,93.97,0.00,0.00
SBAF,2012-01-03 07:00,34.00,20.00,93.97,0.00,0.00
SBAF,2012-01-03 08:00,34.00,19.00,93.92,0.00,0.00
SBAF,2012-01-03 09:00,34.00,18.00,93.88,0.00,0.00
SBAF,2012-01-03 10:00,34.00,21.00,88.34,0.00,0.00
SBAF,2012-01-03 11:00,34.00,22.00,83.09,0.00,0.00
SBAF,2012-01-03 12:00,34.00,25.00,69.33,0.00,0.00
SBAF,2012-01-03 13:00,34.00,27.00,57.84,240.00,4.60
SBAF,2012-01-03 14:00,34.00,28.00,54.55,150.00,6.90
SBAF,2012-01-03 15:00,34.00,28.00,54.55,150.00,8.05
SBAF,2012-01-03 16:00,34.00,28.00,54.55,190.00,10.35
SBAF,2012-01-03 17:00,34.00,28.00,54.55,190.00,14.95
SBAF,2012-01-03 18:00,34.00,28.00,51.21,180.00,10.35
SBAF,2012-01-03 19:00,34.00,27.00,54.30,170.00,12.65
SBAF,2012-01-03 20:00,34.00,26.00,57.60,190.00,8.05
SBAF,2012-01-03 21:00,34.00,24.00,64.91,170.00,6.90
SBAF,2012-01-03 22:00,34.00,23.00,73.44,160.00,3.45
SBAF,2012-01-03 23:00,34.00,22.00,78.04,180.00,4.60
SBAF,2012-01-04 00:00,34.00,22.00,78.04,0.00,0.00
SBAF,2012-01-04 01:00,34.00,21.00,82.98,0.00,0.00
SBAF,2012-01-04 02:00,34.00,20.00,88.26,0.00,0.00
SBAF,2012-01-04 03:00,34.00,20.00,82.86,260.00,3.45
SBAF,2012-01-04 04:00,34.00,19.00,88.18,230.00,3.45
SBAF,2012-01-04 05:00,34.00,19.00,88.18,220.00,2.30
SBAF,2012-01-04 06:00,34.00,19.00,88.18,230.00,2.30
SBAF,2012-01-04 07:00,34.00,18.00,93.88,250.00,2.30
SBAF,2012-01-04 08:00,34.00,19.00,93.92,0.00,0.00
SBAF,2012-01-04 09:00,34.00,20.00,93.97,0.00,0.00
SBAF,2012-01-04 10:00,34.00,22.00,83.09,250.00,3.45
SBAF,2012-01-04 11:00,34.00,24.00,73.61,0.00,0.00
SBAF,2012-01-04 12:00,34.00,27.00,61.58,160.00,4.60
SBAF,2012-01-04 13:00,34.00,27.00,65.54,110.00,5.75
SBAF,2012-01-04 14:00,34.00,27.00,65.54,180.00,6.90
SBAF,2012-01-04 15:00,34.00,27.00,65.54,190.00,9.20
SBAF,2012-01-04 16:00,34.00,29.00,62.03,180.00,9.20
SBAF,2012-01-04 17:00,34.00,30.00,55.04,190.00,13.80
SBAF,2012-01-04 18:00,34.00,29.00,58.32,210.00,12.65
SBAF,2012-01-04 19:00,34.00,27.00,61.58,190.00,12.65
SBAF,2012-01-04 20:00,34.00,27.00,61.58,200.00,12.65
SBAF,2012-01-04 21:00,34.00,25.00,69.33,190.00,11.50
SBAF,2012-01-04 22:00,34.00,23.00,73.44,350.00,2.30
SBAF,2012-01-05 00:00,34.00,21.00,82.98,160.00,2.30
SBAF,2012-01-05 01:00,34.00,21.00,82.98,230.00,3.45
SBAF,2012-01-05 02:00,34.00,21.00,82.98,240.00,2.30
SBAF,2012-01-05 03:00,34.00,20.00,88.26,210.00,1.15
SBAF,2012-01-05 04:00,34.00,20.00,88.26,190.00,2.30
SBAF,2012-01-05 07:00,34.00,18.00,93.88,210.00,3.45
SBAF,2012-01-05 08:00,34.00,18.00,93.88,260.00,3.45
SBAF,2012-01-05 09:00,34.00,19.00,93.92,250.00,3.45
SBAF,2012-01-05 10:00,34.00,22.00,88.43,260.00,2.30
SBAF,2012-01-05 11:00,34.00,26.00,69.52,100.00,2.30
SBAF,2012-01-05 12:00,34.00,28.00,61.81,210.00,2.30
SBAF,2012-01-05 13:00,34.00,29.00,58.32,160.00,6.90
SBAF,2012-01-05 14:00,34.00,29.00,58.32,190.00,9.20
SBAF,2012-01-05 17:00,34.00,30.00,58.55,210.00,10.35
SBAF,2012-01-05 19:00,34.00,29.00,62.03,180.00,8.05
SBAF,2012-01-05 20:00,34.00,27.00,65.54,180.00,8.05
SBAF,2012-01-05 21:00,34.00,26.00,69.52,110.00,10.35
SBAF,2012-01-06 00:00,34.00,25.00,73.78,90.00,6.90
SBAF,2012-01-06 01:00,34.00,25.00,73.78,100.00,4.60
SBAF,2012-01-06 02:00,34.00,25.00,73.78,80.00,3.45
SBAF,2012-01-06 04:00,34.00,24.00,78.34,90.00,4.60
SBAF,2012-01-06 05:00,34.00,24.00,78.34,100.00,2.30
SBAF,2012-01-06 06:00,34.00,24.00,83.32,90.00,2.30
SBAF,2012-01-06 07:00,34.00,23.00,88.51,100.00,2.30
SBAF,2012-01-06 09:00,34.00,21.00,94.01,0.00,0.00
SBAF,2012-01-06 10:00,34.00,24.00,83.32,40.00,1.15
SBAF,2012-01-06 11:00,34.00,26.00,73.95,300.00,1.15
SBAF,2012-01-06 13:00,34.00,28.00,65.74,170.00,8.05
SBAF,2012-01-06 14:00,34.00,30.00,58.55,130.00,2.30
SBAF,2012-01-06 15:00,34.00,M,M,M,M
SBAF,2012-01-06 16:00,34.00,33.00,49.36,50.00,8.05
SBAF,2012-01-06 17:00,34.00,33.00,46.41,100.00,6.90
SBAF,2012-01-06 18:00,34.00,30.00,58.55,160.00,6.90
SBAF,2012-01-06 19:00,34.00,26.00,69.52,260.00,12.65
SBAF,2012-01-06 20:00,34.00,23.00,88.51,270.00,13.80
SBAF,2012-01-06 21:00,34.00,M,M,300.00,2.30
SBAF,2012-01-06 22:00,34.00,22.00,88.43,0.00,0.00
SBAF,2012-01-06 23:00,34.00,22.00,88.43,350.00,3.45
SBAF,2012-01-07 00:00,34.00,22.00,88.43,60.00,3.45
SBAF,2012-01-07 01:00,34.00,22.00,88.43,40.00,4.60
SBAF,2012-01-07 02:00,34.00,23.00,88.51,60.00,3.45
SBAF,2012-01-07 03:00,34.00,23.00,88.51,40.00,2.30
SBAF,2012-01-07 04:00,34.00,23.00,88.51,50.00,1.15
SBAF,2012-01-07 05:00,34.00,22.00,88.43,60.00,3.45
SBAF,2012-01-07 06:00,34.00,22.00,88.43,40.00,2.30
SBAF,2012-01-07 07:00,34.00,21.00,88.34,30.00,2.30
SBAF,2012-01-07 08:00,34.00,21.00,94.01,260.00,2.30
SBAF,2012-01-07 09:00,34.00,22.00,88.43,280.00,2.30
SBAF,2012-01-07 10:00,34.00,25.00,73.78,0.00,0.00
SBAF,2012-01-07 11:00,34.00,28.00,61.81,0.00,0.00
SBAF,2012-01-07 12:00,34.00,30.00,55.04,290.00,3.45
SBAF,2012-01-07 13:00,34.00,31.00,51.98,280.00,8.05
SBAF,2012-01-07 14:00,34.00,31.00,51.98,270.00,9.20
SBAF,2012-01-07 15:00,34.00,32.00,52.23,150.00,12.65
SBAF,2012-01-07 16:00,34.00,32.00,43.34,180.00,16.10
SBAF,2012-01-07 17:00,34.00,32.00,43.34,170.00,13.80
SBAF,2012-01-07 18:00,34.00,30.00,42.80,210.00,13.80
SBAF,2012-01-07 19:00,34.00,28.00,61.81,170.00,11.50
SBAF,2012-01-07 20:00,34.00,27.00,65.54,160.00,2.30
SBAF,2012-01-07 21:00,34.00,26.00,69.52,160.00,6.90
SBAF,2012-01-07 22:00,34.00,25.00,73.78,170.00,4.60
SBAF,2012-01-07 23:00,34.00,25.00,78.48,170.00,5.75
SBAF,2012-01-08 00:00,34.00,24.00,83.32,190.00,3.45
SBAF,2012-01-08 01:00,34.00,23.00,88.51,150.00,4.60
SBAF,2012-01-08 02:00,34.00,23.00,88.51,220.00,1.15
SBAF,2012-01-08 03:00,34.00,23.00,88.51,290.00,3.45
SBAF,2012-01-08 04:00,34.00,22.00,94.06,260.00,1.15
SBAF,2012-01-08 05:00,34.00,22.00,94.06,200.00,1.15
SBAF,2012-01-08 06:00,34.00,22.00,88.43,230.00,3.45
SBAF,2012-01-08 07:00,34.00,22.00,88.43,240.00,2.30
SBAF,2012-01-08 08:00,34.00,22.00,88.43,260.00,1.15
SBAF,2012-01-08 09:00,34.00,22.00,94.06,260.00,3.45
SBAF,2012-01-08 10:00,34.00,24.00,83.32,260.00,2.30
