station,valid,elevation,tmpc,relh,drct,sped
ESCM,2018-04-25 12:50,21.83,13.00,47.16,250.00,10.35
ESCM,2018-04-25 13:20,21.83,13.00,47.16,250.00,11.50
ESCM,2018-04-25 13:50,21.83,15.00,41.42,240.00,9.20
ESCM,2018-04-25 14:20,21.83,11.00,57.77,20.00,13.80
ESCM,2018-04-25 14:50,21.83,10.00,71.07,330.00,9.20
ESCM,2018-04-25 15:20,21.83,10.00,71.07,350.00,10.35
ESCM,2018-04-25 15:50,21.83,10.00,71.07,360.00,11.50
ESCM,2018-04-25 16:20,21.83,9.00,76.01,360.00,6.90
ESCM,2018-04-25 16:50,21.83,9.00,76.01,340.00,3.45
ESCM,2018-04-25 17:20,21.83,9.00,76.01,M,2.30
ESCM,2018-04-25 17:50,21.83,8.00,87.19,170.00,5.75
ESCM,2018-04-25 18:20,21.83,8.00,81.34,210.00,2.30
ESCM,2018-04-25 18:50,21.83,7.00,87.09,0.00,0.00
ESCM,2018-04-25 19:20,21.83,6.00,93.30,240.00,1.15
ESCM,2018-04-25 19:50,21.83,7.00,93.35,190.00,2.30
ESCM,2018-04-25 20:20,21.83,7.00,87.09,220.00,6.90
ESCM,2018-04-25 20:50,21.83,7.00,87.09,350.00,8.05
ESCM,2018-04-25 21:20,21.83,6.00,86.99,90.00,4.60
ESCM,2018-04-25 21:50,21.83,6.00,93.30,230.00,5.75
ESCM,2018-04-25 22:20,21.83,6.00,93.30,170.00,2.30
ESCM,2018-04-25 22:50,21.83,5.00,93.24,270.00,3.45
ESCM,2018-04-25 23:20,21.83,5.00,93.24,M,2.30
ESCM,2018-04-25 23:50,21.83,4.00,100.00,M,2.30
ESCM,2018-04-26 00:20,21.83,5.00,93.24,280.00,2.30
ESCM,2018-04-26 00:50,21.83,4.00,100.00,260.00,3.45
ESCM,2018-04-26 01:20,21.83,4.00,100.00,260.00,4.60
ESCM,2018-04-26 01:50,21.83,4.00,93.19,M,2.30
ESCM,2018-04-26 02:20,21.83,4.00,93.19,250.00,3.45
ESCM,2018-04-26 02:50,21.83,4.00,93.19,280.00,2.30
ESCM,2018-04-26 03:20,21.83,4.00,93.19,M,2.30
ESCM,2018-04-26 03:50,21.83,4.00,93.19,260.00,2.30
ESCM,2018-04-26 04:20,21.83,4.00,93.19,0.00,0.00
ESCM,2018-04-26 04:50,21.83,4.00,93.19,310.00,2.30
ESCM,2018-04-26 05:20,21.83,5.00,86.89,310.00,5.75
ESCM,2018-04-26 05:50,21.83,5.00,80.93,320.00,3.45
ESCM,2018-04-26 06:20,21.83,6.00,81.07,10.00,4.60
ESCM,2018-04-26 06:50,21.83,7.00,70.48,60.00,3.45
ESCM,2018-04-26 07:20,21.83,8.00,70.68,50.00,3.45
ESCM,2018-04-26 07:50,21.83,9.00,61.52,M,2.30
ESCM,2018-04-26 08:20,21.83,9.00,66.05,M,2.30
ESCM,2018-04-26 08:50,21.83,10.00,61.76,250.00,5.75
ESCM,2018-04-26 09:20,21.83,10.00,57.52,210.00,4.60
ESCM,2018-04-26 09:50,21.83,11.00,50.08,M,5.75
ESCM,2018-04-26 10:20,21.83,11.00,50.08,300.00,5.75
ESCM,2018-04-26 10:50,21.83,12.00,43.61,230.00,8.05
ESCM,2018-04-26 11:20,21.83,12.00,46.88,270.00,8.05
ESCM,2018-04-26 11:50,21.83,12.00,50.36,250.00,11.50
ESCM,2018-04-26 12:20,21.83,12.00,43.61,250.00,9.20
ESCM,2018-04-26 12:50,21.83,12.00,40.54,280.00,9.20
ESCM,2018-04-26 13:20,21.83,12.00,40.54,320.00,4.60
ESCM,2018-04-26 13:50,21.83,12.00,43.61,60.00,6.90
ESCM,2018-04-26 14:20,21.83,12.00,37.67,M,4.60
ESCM,2018-04-26 14:50,21.83,12.00,40.54,250.00,12.65
ESCM,2018-04-26 15:20,21.83,11.00,50.08,220.00,9.20
ESCM,2018-04-26 15:50,21.83,11.00,46.59,240.00,8.05
ESCM,2018-04-26 16:20,21.83,11.00,50.08,220.00,9.20
ESCM,2018-04-26 16:50,21.83,10.00,57.52,230.00,10.35
ESCM,2018-04-26 17:20,21.83,10.00,57.52,210.00,11.50
ESCM,2018-04-26 17:50,21.83,9.00,61.52,210.00,9.20
ESCM,2018-04-26 18:20,21.83,9.00,61.52,220.00,10.35
ESCM,2018-04-26 18:50,21.83,8.00,65.83,220.00,8.05
ESCM,2018-04-26 19:20,21.83,7.00,70.48,210.00,6.90
ESCM,2018-04-26 19:50,21.83,6.00,75.50,220.00,6.90
ESCM,2018-04-26 20:20,21.83,6.00,75.50,220.00,9.20
ESCM,2018-04-26 20:50,21.83,5.00,80.93,230.00,9.20
ESCM,2018-04-26 21:20,21.83,5.00,80.93,230.00,9.20
ESCM,2018-04-26 21:50,21.83,4.00,86.79,220.00,8.05
ESCM,2018-04-26 22:20,21.83,4.00,86.79,230.00,8.05
ESCM,2018-04-26 22:50,21.83,4.00,86.79,230.00,5.75
ESCM,2018-04-26 23:20,21.83,3.00,93.14,230.00,5.75
ESCM,2018-04-26 23:50,21.83,3.00,93.14,220.00,9.20
ESCM,2018-04-27 00:20,21.83,3.00,93.14,240.00,5.75
ESCM,2018-04-27 00:50,21.83,3.00,93.14,230.00,6.90
ESCM,2018-04-27 01:20,21.83,3.00,93.14,M,1.15
ESCM,2018-04-27 01:50,21.83,4.00,93.19,240.00,3.45
ESCM,2018-04-27 02:20,21.83,4.00,93.19,250.00,6.90
ESCM,2018-04-27 02:50,21.83,4.00,86.79,M,2.30
ESCM,2018-04-27 03:20,21.83,3.00,93.14,270.00,3.45
ESCM,2018-04-27 03:50,21.83,3.00,93.14,260.00,4.60
ESCM,2018-04-27 04:20,21.83,4.00,93.19,250.00,5.75
