station,valid,elevation,tmpc,relh,drct,sped
HLLB,2012-01-01 06:20,132.00,12.00,76.50,330.00,19.55
HLLB,2012-01-01 06:50,132.00,12.00,76.50,330.00,17.25
HLLB,2012-01-01 07:20,132.00,14.00,62.69,320.00,20.70
HLLB,2012-01-01 07:50,132.00,13.00,66.91,320.00,19.55
HLLB,2012-01-01 08:20,132.00,13.00,66.91,300.00,11.50
HLLB,2012-01-01 08:50,132.00,13.00,66.91,330.00,17.25
HLLB,2012-01-01 09:20,132.00,15.00,58.77,320.00,20.70
HLLB,2012-01-01 09:50,132.00,13.00,71.64,320.00,23.00
HLLB,2012-01-01 10:20,132.00,13.00,71.64,310.00,13.80
HLLB,2012-01-01 10:50,132.00,14.00,67.12,330.00,18.40
HLLB,2012-01-01 11:20,132.00,14.00,67.12,350.00,25.30
HLLB,2012-01-01 11:50,132.00,15.00,62.92,350.00,23.00
HLLB,2012-01-01 12:20,132.00,15.00,62.92,360.00,23.00
HLLB,2012-01-01 12:50,132.00,15.00,62.92,350.00,25.30
HLLB,2012-01-01 13:20,132.00,15.00,54.86,330.00,23.00
HLLB,2012-01-01 13:50,132.00,15.00,58.77,350.00,20.70
HLLB,2012-01-01 14:50,132.00,14.00,62.69,350.00,20.70
HLLB,2012-01-01 15:20,132.00,13.00,62.46,350.00,17.25
HLLB,2012-01-01 15:50,132.00,13.00,58.27,330.00,17.25
HLLB,2012-01-01 16:20,132.00,13.00,58.27,350.00,13.80
HLLB,2012-01-01 16:50,132.00,12.00,62.23,350.00,13.80
HLLB,2012-01-01 17:20,132.00,12.00,62.23,350.00,11.50
HLLB,2012-01-01 17:50,132.00,12.00,62.23,320.00,11.50
HLLB,2012-01-01 18:20,132.00,11.00,66.48,350.00,14.95
HLLB,2012-01-01 18:50,132.00,11.00,66.48,340.00,11.50
HLLB,2012-01-01 19:00,132.00,11.00,66.48,350.00,14.95
HLLB,2012-01-01 19:20,132.00,11.00,66.48,350.00,14.95
HLLB,2012-01-01 19:50,132.00,10.00,66.27,340.00,11.50
HLLB,2012-01-01 20:20,132.00,11.00,61.99,320.00,9.20
HLLB,2012-01-01 20:50,132.00,11.00,61.99,330.00,14.95
HLLB,2012-01-01 21:20,132.00,10.00,66.27,320.00,5.75
HLLB,2012-01-01 21:50,132.00,8.00,70.68,360.00,5.75
HLLB,2012-01-01 22:20,132.00,8.00,75.84,M,3.45
HLLB,2012-01-01 22:50,132.00,6.00,75.50,0.00,0.00
HLLB,2012-01-01 23:20,132.00,7.00,81.20,0.00,0.00
HLLB,2012-01-01 23:50,132.00,6.00,81.07,0.00,0.00
HLLB,2012-01-02 00:20,132.00,6.00,81.07,0.00,0.00
HLLB,2012-01-02 00:50,132.00,6.00,81.07,0.00,0.00
HLLB,2012-01-02 01:20,132.00,6.00,81.07,0.00,0.00
HLLB,2012-01-02 01:50,132.00,6.00,81.07,0.00,0.00
HLLB,2012-01-02 02:20,132.00,6.00,81.07,0.00,0.00
HLLB,2012-01-02 03:20,132.00,6.00,86.99,0.00,0.00
HLLB,2012-01-02 03:50,132.00,6.00,86.99,0.00,0.00
HLLB,2012-01-02 04:20,132.00,6.00,86.99,0.00,0.00
HLLB,2012-01-02 04:50,132.00,6.00,86.99,0.00,0.00
HLLB,2012-01-02 05:20,132.00,6.00,86.99,0.00,0.00
HLLB,2012-01-02 05:50,132.00,5.00,86.89,0.00,0.00
HLLB,2012-01-02 06:20,132.00,7.00,87.09,0.00,0.00
HLLB,2012-01-02 06:50,132.00,9.00,87.28,0.00,0.00
HLLB,2012-01-02 07:20,132.00,11.00,76.34,150.00,5.75
HLLB,2012-01-02 07:50,132.00,13.00,71.64,170.00,5.75
HLLB,2012-01-02 08:25,132.00,13.00,66.91,160.00,3.45
HLLB,2012-01-02 08:50,132.00,15.00,62.92,0.00,0.00
HLLB,2012-01-02 09:20,132.00,16.00,51.45,330.00,8.05
HLLB,2012-01-02 10:00,132.00,13.00,81.99,350.00,17.25
HLLB,2012-01-02 10:30,132.00,15.00,51.18,330.00,33.53
HLLB,2012-01-02 10:50,132.00,16.00,63.15,340.00,13.80
HLLB,2012-01-02 11:20,132.00,16.00,51.45,340.00,20.70
HLLB,2012-01-02 11:50,132.00,16.00,51.45,330.00,23.00
HLLB,2012-01-02 12:20,132.00,16.00,51.45,330.00,13.80
HLLB,2012-01-02 13:20,132.00,16.00,51.45,320.00,20.70
HLLB,2012-01-02 13:50,132.00,16.00,51.45,330.00,17.25
HLLB,2012-01-02 14:50,132.00,15.00,54.86,330.00,17.25
HLLB,2012-01-02 15:20,132.00,15.00,58.77,330.00,9.20
HLLB,2012-01-02 15:50,132.00,14.00,62.69,330.00,8.05
HLLB,2012-01-02 16:20,132.00,14.00,62.69,330.00,3.45
HLLB,2012-01-02 16:50,132.00,13.00,71.64,0.00,0.00
HLLB,2012-01-02 17:20,132.00,13.00,76.66,0.00,0.00
HLLB,2012-01-02 17:50,132.00,13.00,76.66,0.00,0.00
HLLB,2012-01-02 18:50,132.00,12.00,81.87,0.00,0.00
HLLB,2012-01-02 19:20,132.00,12.00,81.87,0.00,0.00
HLLB,2012-01-02 19:50,132.00,12.00,81.87,0.00,0.00
HLLB,2012-01-02 20:20,132.00,12.00,81.87,0.00,0.00
HLLB,2012-01-02 21:20,132.00,11.00,81.74,0.00,0.00
HLLB,2012-01-02 21:50,132.00,11.00,81.74,0.00,0.00
HLLB,2012-01-02 22:20,132.00,11.00,81.74,0.00,0.00
HLLB,2012-01-02 22:50,132.00,11.00,81.74,0.00,0.00
HLLB,2012-01-02 23:20,132.00,11.00,81.74,0.00,0.00
HLLB,2012-01-02 23:50,132.00,11.00,81.74,0.00,0.00
HLLB,2012-01-03 00:20,132.00,11.00,81.74,0.00,0.00
HLLB,2012-01-03 00:50,132.00,11.00,87.47,0.00,0.00
HLLB,2012-01-03 01:20,132.00,11.00,87.47,0.00,0.00
HLLB,2012-01-03 01:50,132.00,11.00,87.47,0.00,0.00
HLLB,2012-01-03 02:20,132.00,11.00,81.74,0.00,0.00
HLLB,2012-01-03 03:50,132.00,10.00,87.37,120.00,5.75
HLLB,2012-01-03 04:20,132.00,10.00,87.37,120.00,6.90
HLLB,2012-01-03 04:50,132.00,10.00,87.37,130.00,8.05
HLLB,2012-01-03 05:20,132.00,10.00,87.37,120.00,5.75
HLLB,2012-01-03 05:50,132.00,10.00,87.37,120.00,9.20
HLLB,2012-01-03 06:20,132.00,11.00,81.74,0.00,0.00
HLLB,2012-01-03 07:00,132.00,12.00,76.50,120.00,5.75
HLLB,2012-01-03 07:30,132.00,13.00,71.64,120.00,5.75
HLLB,2012-01-03 08:00,132.00,13.00,66.91,120.00,11.50
HLLB,2012-01-03 08:20,132.00,13.00,66.91,130.00,5.75
HLLB,2012-01-03 08:50,132.00,14.00,62.69,120.00,9.20
HLLB,2012-01-03 09:20,132.00,14.00,62.69,150.00,9.20
HLLB,2012-01-03 09:55,132.00,14.00,62.69,150.00,11.50
HLLB,2012-01-03 10:20,132.00,14.00,67.12,160.00,11.50
HLLB,2012-01-03 10:50,132.00,15.00,58.77,150.00,13.80
HLLB,2012-01-03 11:20,132.00,15.00,62.92,170.00,11.50
HLLB,2012-01-03 11:50,132.00,16.00,59.01,180.00,11.50
HLLB,2012-01-03 12:20,132.00,16.00,59.01,210.00,5.75
HLLB,2012-01-03 12:50,132.00,16.00,59.01,180.00,9.20
HLLB,2012-01-03 13:20,132.00,16.00,59.01,180.00,8.05
HLLB,2012-01-03 13:50,132.00,16.00,63.15,170.00,5.75
HLLB,2012-01-03 14:20,132.00,15.00,67.33,180.00,5.75
HLLB,2012-01-03 14:50,132.00,15.00,62.92,0.00,0.00
HLLB,2012-01-03 15:30,132.00,14.00,67.12,0.00,0.00
HLLB,2012-01-03 15:50,132.00,14.00,67.12,190.00,8.05
HLLB,2012-01-03 16:20,132.00,13.00,71.64,170.00,5.75
HLLB,2012-01-03 16:50,132.00,13.00,76.66,180.00,5.75
HLLB,2012-01-03 17:20,132.00,12.00,81.87,180.00,5.75
HLLB,2012-01-03 17:50,132.00,11.00,81.74,180.00,5.75
HLLB,2012-01-03 18:20,132.00,11.00,81.74,160.00,9.20
HLLB,2012-01-03 18:50,132.00,11.00,81.74,140.00,8.05
HLLB,2012-01-03 19:20,132.00,10.00,87.37,140.00,8.05
HLLB,2012-01-03 19:50,132.00,10.00,81.61,130.00,9.20
HLLB,2012-01-03 20:20,132.00,10.00,81.61,130.00,6.90
HLLB,2012-01-03 20:50,132.00,9.00,87.28,130.00,8.05
HLLB,2012-01-03 21:20,132.00,9.00,87.28,140.00,5.75
HLLB,2012-01-03 21:50,132.00,9.00,87.28,140.00,8.05
HLLB,2012-01-03 22:20,132.00,9.00,87.28,120.00,9.20
HLLB,2012-01-03 22:50,132.00,8.00,87.19,140.00,8.05
HLLB,2012-01-03 23:20,132.00,9.00,93.45,130.00,9.20
HLLB,2012-01-04 00:20,132.00,9.00,81.47,120.00,17.25
HLLB,2012-01-04 00:50,132.00,9.00,81.47,140.00,11.50
HLLB,2012-01-04 01:20,132.00,8.00,81.34,140.00,11.50
HLLB,2012-01-04 01:50,132.00,9.00,76.01,140.00,16.10
HLLB,2012-01-04 02:20,132.00,9.00,76.01,130.00,17.25
HLLB,2012-01-04 02:50,132.00,9.00,76.01,130.00,17.25
HLLB,2012-01-04 03:20,132.00,9.00,76.01,130.00,17.25
HLLB,2012-01-04 03:50,132.00,9.00,76.01,130.00,16.10
HLLB,2012-01-04 04:03,132.00,9.00,76.01,130.00,14.95
HLLB,2012-01-04 04:20,132.00,10.00,71.07,130.00,17.25
HLLB,2012-01-04 04:50,132.00,10.00,71.07,140.00,17.25
HLLB,2012-01-04 05:50,132.00,10.00,71.07,140.00,17.25
HLLB,2012-01-04 06:20,132.00,M,M,130.00,23.00
HLLB,2012-01-04 06:50,132.00,11.00,66.48,130.00,25.30
HLLB,2012-01-04 07:20,132.00,12.00,66.70,130.00,26.45
HLLB,2012-01-04 07:50,132.00,13.00,62.46,150.00,21.85
HLLB,2012-01-04 08:20,132.00,14.00,58.52,130.00,28.75
HLLB,2012-01-04 08:50,132.00,14.00,62.69,140.00,23.00
HLLB,2012-01-04 09:50,132.00,14.00,58.52,150.00,19.55
HLLB,2012-01-04 10:20,132.00,14.00,58.52,150.00,26.45
HLLB,2012-01-04 10:50,132.00,15.00,58.77,150.00,20.70
HLLB,2012-01-04 11:50,132.00,14.00,67.12,210.00,17.25
HLLB,2012-01-04 12:50,132.00,13.00,71.64,250.00,17.25
HLLB,2012-01-04 13:20,132.00,12.00,81.87,210.00,13.80
HLLB,2012-01-04 13:50,132.00,12.00,81.87,200.00,8.05
HLLB,2012-01-04 14:20,132.00,11.00,81.74,170.00,5.75
HLLB,2012-01-04 14:50,132.00,11.00,81.74,180.00,5.75
HLLB,2012-01-04 15:50,132.00,11.00,87.47,130.00,13.80
HLLB,2012-01-04 16:20,132.00,10.00,87.37,140.00,14.95
HLLB,2012-01-04 16:50,132.00,10.00,87.37,150.00,13.80
HLLB,2012-01-04 17:20,132.00,10.00,87.37,160.00,9.20
HLLB,2012-01-04 17:50,132.00,10.00,87.37,160.00,11.50
HLLB,2012-01-04 18:20,132.00,10.00,87.37,160.00,9.20
HLLB,2012-01-04 18:50,132.00,10.00,87.37,160.00,11.50
HLLB,2012-01-04 19:20,132.00,10.00,87.37,170.00,11.50
HLLB,2012-01-04 19:50,132.00,10.00,87.37,150.00,11.50
HLLB,2012-01-04 20:20,132.00,9.00,87.28,160.00,13.80
HLLB,2012-01-04 20:50,132.00,9.00,87.28,160.00,9.20
HLLB,2012-01-04 21:25,132.00,9.00,87.28,160.00,9.20
HLLB,2012-01-04 21:50,132.00,9.00,87.28,150.00,9.20
HLLB,2012-01-04 22:20,132.00,9.00,87.28,160.00,8.05
