station,valid,elevation,tmpc,relh,drct,sped
OAJL,2016-12-09 14:55,561.33,11.78,61.93,230.00,1.15
OAJL,2016-12-09 15:55,561.33,10.72,69.05,220.00,2.30
OAJL,2016-12-09 16:55,561.33,9.72,75.55,260.00,1.15
OAJL,2016-12-09 17:55,561.33,9.39,74.05,240.00,2.30
OAJL,2016-12-09 18:55,561.33,9.00,74.55,220.00,2.30
OAJL,2016-12-09 19:55,561.33,8.61,76.54,230.00,1.15
OAJL,2016-12-09 20:55,561.33,8.22,77.98,220.00,1.15
OAJL,2016-12-09 21:55,561.33,7.50,80.02,240.00,1.15
OAJL,2016-12-09 22:55,561.33,7.11,81.22,250.00,3.45
OAJL,2016-12-09 23:55,561.33,7.11,78.41,230.00,1.15
OAJL,2016-12-10 00:55,561.33,7.00,79.63,0.00,0.00
OAJL,2016-12-10 01:55,561.33,6.89,80.56,M,2.30
OAJL,2016-12-10 02:55,561.33,7.78,78.52,0.00,0.00
OAJL,2016-12-10 03:55,561.33,10.28,70.30,M,2.30
OAJL,2016-12-10 04:55,561.33,11.61,64.34,270.00,1.15
OAJL,2016-12-10 05:55,561.33,14.50,57.53,350.00,1.15
OAJL,2016-12-10 06:55,561.33,16.72,50.09,270.00,2.30
OAJL,2016-12-10 07:55,561.33,17.61,42.50,280.00,8.05
OAJL,2016-12-10 08:55,561.33,14.28,73.51,180.00,4.60
OAJL,2016-12-10 09:21,561.33,14.39,74.36,M,3.45
OAJL,2016-12-10 09:55,561.33,15.78,65.26,330.00,2.30
OAJL,2016-12-10 10:55,561.33,15.78,70.84,280.00,2.30
OAJL,2016-12-10 11:55,561.33,14.22,77.14,240.00,1.15
OAJL,2016-12-10 12:55,561.33,12.11,84.68,280.00,1.15
OAJL,2016-12-10 13:55,561.33,11.22,86.19,230.00,2.30
OAJL,2016-12-10 14:55,561.33,11.11,83.31,250.00,2.30
OAJL,2016-12-10 15:55,561.33,10.39,83.54,250.00,1.15
OAJL,2016-12-10 16:55,561.33,9.78,84.42,300.00,2.30
OAJL,2016-12-10 17:55,561.33,9.28,86.32,0.00,0.00
OAJL,2016-12-10 18:55,561.33,8.50,88.58,260.00,1.15
OAJL,2016-12-10 19:55,561.33,8.78,86.93,240.00,1.15
OAJL,2016-12-10 20:55,561.33,8.78,86.27,300.00,1.15
OAJL,2016-12-10 21:55,561.33,8.00,88.53,250.00,1.15
OAJL,2016-12-10 22:55,561.33,8.11,87.20,240.00,2.30
OAJL,2016-12-10 23:55,561.33,7.22,88.81,250.00,1.15
OAJL,2016-12-11 00:55,561.33,7.72,86.49,260.00,1.15
OAJL,2016-12-11 01:55,561.33,7.22,87.45,230.00,2.30
OAJL,2016-12-11 02:55,561.33,8.00,84.22,290.00,3.45
OAJL,2016-12-11 03:55,561.33,9.22,83.08,0.00,0.00
