station,valid,elevation,tmpc,relh,drct,sped
SCCH,2012-01-01 00:00,148.00,26.00,50.69,180.00,5.75
SCCH,2012-01-01 12:00,148.00,17.00,82.50,180.00,6.90
SCCH,2012-01-01 13:00,148.00,19.00,77.60,180.00,9.20
SCCH,2012-01-01 14:00,148.00,23.00,60.67,240.00,6.90
SCCH,2012-01-01 15:00,148.00,25.00,57.36,0.00,0.00
SCCH,2012-01-01 16:00,148.00,29.00,42.52,180.00,5.75
SCCH,2012-01-01 17:00,148.00,32.00,35.81,210.00,5.75
SCCH,2012-01-01 18:00,148.00,34.00,34.11,180.00,11.50
SCCH,2012-01-01 19:00,148.00,36.00,26.84,180.00,17.25
SCCH,2012-01-01 20:00,148.00,37.00,32.81,180.00,20.70
SCCH,2012-01-01 21:00,148.00,36.00,34.66,180.00,17.25
SCCH,2012-01-01 22:00,148.00,35.00,23.30,180.00,20.70
SCCH,2012-01-01 23:00,148.00,32.00,24.11,180.00,20.70
SCCH,2012-01-02 00:00,148.00,30.00,33.01,180.00,16.10
SCCH,2012-01-02 12:00,148.00,20.00,77.75,150.00,3.45
SCCH,2012-01-02 13:00,148.00,22.00,68.75,30.00,4.60
SCCH,2012-01-02 15:00,148.00,25.00,61.13,30.00,9.20
SCCH,2012-01-02 16:00,148.00,27.00,50.95,30.00,8.05
SCCH,2012-01-02 17:00,148.00,29.00,48.32,270.00,4.60
SCCH,2012-01-02 18:00,148.00,31.00,43.07,150.00,5.75
SCCH,2012-01-02 19:00,148.00,33.00,38.45,210.00,3.45
SCCH,2012-01-02 20:00,148.00,35.00,28.37,210.00,4.60
SCCH,2012-01-02 22:00,148.00,35.00,20.38,150.00,8.05
SCCH,2012-01-02 23:00,148.00,33.00,24.37,210.00,11.50
SCCH,2012-01-03 00:00,148.00,29.00,51.47,240.00,3.45
SCCH,2012-01-03 12:00,148.00,17.00,72.38,180.00,5.75
SCCH,2012-01-03 13:00,148.00,20.00,68.35,210.00,6.90
SCCH,2012-01-03 14:00,148.00,23.00,56.88,150.00,9.20
SCCH,2012-01-03 15:00,148.00,26.00,50.69,150.00,2.30
SCCH,2012-01-03 16:00,148.00,28.00,45.07,150.00,3.45
SCCH,2012-01-03 17:00,148.00,31.00,35.53,210.00,5.75
SCCH,2012-01-03 18:00,148.00,33.00,31.72,180.00,11.50
SCCH,2012-01-03 19:00,148.00,34.00,M,M,M
SCCH,2012-01-03 21:00,148.00,35.00,24.89,180.00,6.90
SCCH,2012-01-03 22:00,148.00,34.00,26.31,210.00,6.90
SCCH,2012-01-03 23:00,148.00,33.00,24.37,180.00,11.50
SCCH,2012-01-04 00:00,148.00,31.00,29.18,240.00,2.30
SCCH,2012-01-04 12:00,148.00,18.00,72.56,330.00,4.60
SCCH,2012-01-04 13:00,148.00,21.00,56.38,310.00,5.75
SCCH,2012-01-04 15:00,148.00,25.00,47.25,360.00,6.90
SCCH,2012-01-04 16:00,148.00,27.00,44.80,300.00,2.30
SCCH,2012-01-04 17:00,148.00,28.00,45.07,270.00,2.30
SCCH,2012-01-04 18:00,148.00,29.00,39.86,330.00,3.45
SCCH,2012-01-04 19:00,148.00,31.00,37.90,270.00,2.30
SCCH,2012-01-04 20:00,148.00,32.00,52.23,270.00,3.45
SCCH,2012-01-04 21:00,148.00,32.00,35.81,230.00,6.90
SCCH,2012-01-05 12:00,148.00,18.00,72.56,360.00,6.90
SCCH,2012-01-05 13:00,148.00,20.00,68.35,360.00,8.05
SCCH,2012-01-05 14:00,148.00,22.00,64.48,330.00,9.20
SCCH,2012-01-05 15:00,148.00,24.00,60.90,300.00,4.60
SCCH,2012-01-05 17:00,148.00,28.00,48.05,30.00,8.05
SCCH,2012-01-05 18:00,148.00,29.00,45.34,290.00,5.75
SCCH,2012-01-05 19:00,148.00,30.00,42.80,60.00,4.60
SCCH,2012-01-05 20:00,148.00,31.00,40.41,240.00,3.45
SCCH,2012-01-05 21:00,148.00,29.00,45.34,240.00,8.05
SCCH,2012-01-06 12:00,148.00,15.00,93.74,0.00,0.00
SCCH,2012-01-06 14:00,148.00,20.00,72.92,330.00,3.45
SCCH,2012-01-06 15:00,148.00,23.00,64.69,30.00,8.05
SCCH,2012-01-06 16:00,148.00,24.00,60.90,330.00,6.90
SCCH,2012-01-06 17:00,148.00,26.00,54.05,360.00,5.75
SCCH,2012-01-06 18:00,148.00,27.00,50.95,340.00,6.90
SCCH,2012-01-06 20:00,148.00,30.00,45.61,360.00,11.50
SCCH,2012-01-06 21:00,148.00,30.00,42.80,360.00,11.50
SCCH,2012-01-07 12:00,148.00,16.00,93.79,60.00,2.30
SCCH,2012-01-07 13:00,148.00,17.00,82.50,330.00,2.30
SCCH,2012-01-07 14:00,148.00,18.00,82.62,360.00,6.90
SCCH,2012-01-07 15:00,148.00,19.00,77.60,360.00,9.20
SCCH,2012-01-07 16:00,148.00,20.00,68.35,330.00,11.50
SCCH,2012-01-07 17:00,148.00,21.00,68.55,330.00,9.20
SCCH,2012-01-07 19:00,148.00,21.00,68.55,320.00,6.90
SCCH,2012-01-07 20:00,148.00,20.00,72.92,320.00,6.90
SCCH,2012-01-07 21:00,148.00,20.00,68.35,360.00,9.20
SCCH,2012-01-08 12:00,148.00,19.00,77.60,30.00,11.50
SCCH,2012-01-08 13:00,148.00,21.00,68.55,20.00,16.10
SCCH,2012-01-08 14:00,148.00,22.00,60.44,360.00,13.80
SCCH,2012-01-08 15:00,148.00,23.00,56.88,360.00,12.65
SCCH,2012-01-08 16:00,148.00,25.00,47.25,360.00,13.80
SCCH,2012-01-08 17:00,148.00,27.00,39.30,330.00,11.50
SCCH,2012-01-08 18:00,148.00,27.00,39.30,330.00,11.50
SCCH,2012-01-08 19:00,148.00,26.00,41.69,350.00,13.80
SCCH,2012-01-08 20:00,148.00,27.00,39.30,320.00,9.20
SCCH,2012-01-08 21:00,148.00,27.00,39.30,330.00,9.20
SCCH,2012-01-09 12:00,148.00,18.00,88.09,360.00,10.35
SCCH,2012-01-09 13:00,148.00,19.00,82.74,360.00,13.80
SCCH,2012-01-09 14:00,148.00,18.00,93.88,360.00,11.50
SCCH,2012-01-09 15:00,148.00,20.00,82.86,350.00,11.50
SCCH,2012-01-09 16:00,148.00,19.00,93.92,270.00,5.75
SCCH,2012-01-09 17:00,148.00,21.00,82.98,360.00,12.65
SCCH,2012-01-09 18:00,148.00,21.00,77.90,330.00,13.80
SCCH,2012-01-09 19:00,148.00,24.00,57.12,330.00,19.55
SCCH,2012-01-09 20:00,148.00,24.00,50.17,300.00,12.65
SCCH,2012-01-09 21:00,148.00,24.00,46.98,330.00,8.05
SCCH,2012-01-10 12:00,148.00,15.00,93.74,180.00,3.45
SCCH,2012-01-10 13:00,148.00,17.00,72.38,180.00,3.45
SCCH,2012-01-10 14:00,148.00,18.00,63.60,170.00,3.45
SCCH,2012-01-10 15:00,148.00,19.00,55.88,150.00,6.90
SCCH,2012-01-10 16:00,148.00,21.00,49.37,210.00,3.45
SCCH,2012-01-10 17:00,148.00,21.00,46.16,180.00,4.60
SCCH,2012-01-10 18:00,148.00,23.00,35.66,180.00,9.20
SCCH,2012-01-10 19:00,148.00,24.00,35.94,240.00,5.75
SCCH,2012-01-10 21:00,148.00,24.00,35.94,180.00,9.20
SCCH,2012-01-11 12:00,148.00,14.00,71.83,180.00,6.90
SCCH,2012-01-11 13:00,148.00,15.00,67.33,210.00,17.25
SCCH,2012-01-11 14:00,148.00,18.00,51.98,180.00,14.95
SCCH,2012-01-11 15:00,148.00,20.00,49.10,210.00,23.00
SCCH,2012-01-11 16:00,148.00,22.00,40.57,180.00,9.20
SCCH,2012-01-11 17:00,148.00,24.00,38.46,210.00,8.05
SCCH,2012-01-11 18:00,148.00,25.00,29.51,180.00,9.20
SCCH,2012-01-11 19:00,148.00,26.00,27.81,180.00,10.35
SCCH,2012-01-11 21:00,148.00,27.00,26.22,180.00,9.20
SCCH,2012-01-12 12:00,148.00,14.00,82.12,180.00,5.75
SCCH,2012-01-12 13:00,148.00,17.00,67.75,180.00,6.90
SCCH,2012-01-12 14:00,148.00,20.00,56.13,180.00,8.05
SCCH,2012-01-12 15:00,148.00,23.00,49.90,180.00,6.90
SCCH,2012-01-12 16:00,148.00,27.00,39.30,210.00,4.60
SCCH,2012-01-12 17:00,148.00,30.00,33.01,180.00,9.20
SCCH,2012-01-12 18:00,148.00,32.00,33.56,180.00,11.50
SCCH,2012-01-12 20:00,148.00,34.00,26.31,180.00,10.35
SCCH,2012-01-12 21:00,148.00,35.00,26.58,180.00,6.90
SCCH,2012-01-13 12:00,148.00,19.00,72.74,360.00,4.60
SCCH,2012-01-13 13:00,148.00,21.00,64.26,360.00,4.60
SCCH,2012-01-13 14:00,148.00,23.00,60.67,360.00,3.45
SCCH,2012-01-13 16:00,148.00,26.00,54.05,270.00,5.75
SCCH,2012-01-13 17:00,148.00,28.00,48.05,210.00,4.60
SCCH,2012-01-13 18:00,148.00,29.00,45.34,340.00,3.45
SCCH,2012-01-13 19:00,148.00,30.00,42.80,340.00,5.75
SCCH,2012-01-13 20:00,148.00,31.00,40.41,30.00,3.45
SCCH,2012-01-13 21:00,148.00,31.00,40.41,30.00,5.75
SCCH,2012-01-14 12:00,148.00,17.00,88.00,70.00,4.60
SCCH,2012-01-14 13:00,148.00,19.00,72.74,30.00,10.35
SCCH,2012-01-14 14:00,148.00,20.00,72.92,30.00,9.20
SCCH,2012-01-14 15:00,148.00,21.00,68.55,360.00,10.35
SCCH,2012-01-14 16:00,148.00,23.00,60.67,360.00,5.75
SCCH,2012-01-14 17:00,148.00,25.00,53.80,360.00,6.90
SCCH,2012-01-14 18:00,148.00,27.00,50.95,360.00,6.90
SCCH,2012-01-14 19:00,148.00,27.00,47.79,360.00,9.20
SCCH,2012-01-14 20:00,148.00,29.00,39.86,330.00,13.80
SCCH,2012-01-15 12:00,148.00,16.00,87.92,180.00,3.45
SCCH,2012-01-15 13:00,148.00,18.00,77.45,210.00,2.30
SCCH,2012-01-15 14:00,148.00,20.00,68.35,210.00,2.30
SCCH,2012-01-15 15:00,148.00,22.00,60.44,240.00,3.45
SCCH,2012-01-15 16:00,148.00,24.00,57.12,280.00,5.75
SCCH,2012-01-15 17:00,148.00,25.00,50.43,360.00,5.75
SCCH,2012-01-15 19:00,148.00,28.00,45.07,230.00,4.60
SCCH,2012-01-15 20:00,148.00,29.00,42.52,340.00,3.45
SCCH,2012-01-15 21:00,148.00,29.00,42.52,260.00,4.60
SCCH,2012-01-16 12:00,148.00,14.00,93.69,30.00,2.30
SCCH,2012-01-16 13:00,148.00,16.00,82.37,0.00,0.00
SCCH,2012-01-16 14:00,148.00,19.00,63.82,180.00,3.45
SCCH,2012-01-16 15:00,148.00,20.00,59.97,150.00,3.45
SCCH,2012-01-16 16:00,148.00,22.00,56.63,300.00,4.60
SCCH,2012-01-16 17:00,148.00,24.00,50.17,270.00,2.30
SCCH,2012-01-16 18:00,148.00,26.00,41.69,240.00,5.75
SCCH,2012-01-16 19:00,148.00,27.00,41.97,360.00,3.45
SCCH,2012-01-16 20:00,148.00,27.00,39.30,0.00,0.00
SCCH,2012-01-16 21:00,148.00,27.00,39.30,30.00,3.45
SCCH,2012-01-17 12:00,148.00,15.00,87.83,0.00,0.00
SCCH,2012-01-17 13:00,148.00,18.00,77.45,180.00,3.45
SCCH,2012-01-17 14:00,148.00,20.00,68.35,200.00,5.75
SCCH,2012-01-17 15:00,148.00,23.00,56.88,0.00,0.00
SCCH,2012-01-17 16:00,148.00,24.00,50.17,210.00,8.05
SCCH,2012-01-17 17:00,148.00,27.00,39.30,170.00,4.60
SCCH,2012-01-17 19:00,148.00,29.00,32.73,270.00,5.75
SCCH,2012-01-17 20:00,148.00,29.00,32.73,250.00,3.45
SCCH,2012-01-17 21:00,148.00,30.00,33.01,210.00,3.45
SCCH,2012-01-18 12:00,148.00,16.00,87.92,210.00,5.75
SCCH,2012-01-18 13:00,148.00,18.00,77.45,180.00,5.75
SCCH,2012-01-18 14:00,148.00,22.00,64.48,210.00,4.60
SCCH,2012-01-18 15:00,148.00,25.00,53.80,230.00,6.90
SCCH,2012-01-18 16:00,148.00,27.00,47.79,200.00,5.75
SCCH,2012-01-18 17:00,148.00,29.00,45.34,250.00,4.60
SCCH,2012-01-18 18:00,148.00,30.00,35.25,180.00,8.05
SCCH,2012-01-18 19:00,148.00,32.00,27.56,210.00,6.90
SCCH,2012-01-18 20:00,148.00,33.00,24.37,220.00,4.60
SCCH,2012-01-18 21:00,148.00,33.00,24.37,240.00,4.60
SCCH,2012-01-18 22:00,148.00,32.00,33.56,250.00,9.20
SCCH,2012-01-18 23:00,148.00,30.00,33.01,240.00,10.35
SCCH,2012-01-19 00:00,148.00,27.00,39.30,240.00,8.05
SCCH,2012-01-19 12:00,148.00,16.00,77.14,210.00,5.75
SCCH,2012-01-19 13:00,148.00,20.00,59.97,210.00,3.45
SCCH,2012-01-19 14:00,148.00,22.00,56.63,180.00,3.45
SCCH,2012-01-19 15:00,148.00,25.00,47.25,240.00,5.75
SCCH,2012-01-19 16:00,148.00,27.00,41.97,280.00,3.45
SCCH,2012-01-19 17:00,148.00,29.00,37.35,210.00,5.75
SCCH,2012-01-19 18:00,148.00,31.00,31.17,200.00,5.75
SCCH,2012-01-19 19:00,148.00,32.00,29.45,240.00,3.45
SCCH,2012-01-19 20:00,148.00,33.00,26.05,270.00,6.90
SCCH,2012-01-19 21:00,148.00,32.00,24.11,240.00,4.60
SCCH,2012-01-19 22:00,148.00,33.00,22.78,210.00,9.20
SCCH,2012-01-19 23:00,148.00,30.00,37.62,210.00,4.60
SCCH,2012-01-20 00:00,148.00,27.00,50.95,240.00,5.75
SCCH,2012-01-20 12:00,148.00,16.00,87.92,330.00,2.30
SCCH,2012-01-20 13:00,148.00,18.00,77.45,360.00,4.60
SCCH,2012-01-20 14:00,148.00,20.00,68.35,360.00,5.75
SCCH,2012-01-20 15:00,148.00,22.00,60.44,360.00,4.60
SCCH,2012-01-20 16:00,148.00,24.00,53.55,330.00,9.20
SCCH,2012-01-20 17:00,148.00,26.00,47.52,360.00,11.50
SCCH,2012-01-20 18:00,148.00,27.00,44.80,360.00,10.35
SCCH,2012-01-20 19:00,148.00,28.00,42.25,120.00,4.60
SCCH,2012-01-20 20:00,148.00,27.00,44.80,90.00,4.60
SCCH,2012-01-20 21:00,148.00,25.00,47.25,210.00,12.65
SCCH,2012-01-20 22:00,148.00,24.00,46.98,240.00,9.20
SCCH,2012-01-20 23:00,148.00,23.00,49.90,320.00,9.20
SCCH,2012-01-21 00:00,148.00,20.00,64.04,270.00,5.75
SCCH,2012-01-21 14:00,148.00,19.00,68.15,360.00,6.90
SCCH,2012-01-21 15:00,148.00,21.00,64.26,330.00,6.90
SCCH,2012-01-21 16:00,148.00,21.00,64.26,360.00,8.05
SCCH,2012-01-21 17:00,148.00,21.00,64.26,360.00,9.20
SCCH,2012-01-21 18:00,148.00,23.00,56.88,360.00,13.80
SCCH,2012-01-21 19:00,148.00,23.00,56.88,360.00,9.20
SCCH,2012-01-21 20:00,148.00,23.00,56.88,360.00,11.50
SCCH,2012-01-21 21:00,148.00,23.00,60.67,360.00,9.20
SCCH,2012-01-21 22:00,148.00,23.00,56.88,360.00,11.50
SCCH,2012-01-21 23:00,148.00,21.00,64.26,360.00,11.50
SCCH,2012-01-22 00:00,148.00,21.00,64.26,360.00,6.90
SCCH,2012-01-22 12:00,148.00,14.00,93.69,300.00,2.30
SCCH,2012-01-22 13:00,148.00,17.00,77.29,210.00,2.30
SCCH,2012-01-22 14:00,148.00,19.00,72.74,270.00,3.45
SCCH,2012-01-22 15:00,148.00,21.00,64.26,260.00,3.45
SCCH,2012-01-22 16:00,148.00,23.00,56.88,290.00,5.75
SCCH,2012-01-22 17:00,148.00,24.00,50.17,30.00,3.45
SCCH,2012-01-22 18:00,148.00,25.00,41.42,320.00,5.75
SCCH,2012-01-22 19:00,148.00,26.00,39.02,290.00,6.90
SCCH,2012-01-22 20:00,148.00,26.00,39.02,160.00,2.30
SCCH,2012-01-22 21:00,148.00,25.00,50.43,270.00,6.90
SCCH,2012-01-22 22:00,148.00,23.00,56.88,280.00,6.90
SCCH,2012-01-22 23:00,148.00,23.00,53.29,300.00,10.35
SCCH,2012-01-23 00:00,148.00,22.00,53.03,270.00,4.60
SCCH,2012-01-23 13:00,148.00,16.00,87.92,360.00,4.60
SCCH,2012-01-23 14:00,148.00,17.00,82.50,360.00,6.90
SCCH,2012-01-23 15:00,148.00,17.00,72.38,350.00,6.90
SCCH,2012-01-23 16:00,148.00,18.00,67.95,360.00,9.20
SCCH,2012-01-23 17:00,148.00,20.00,59.97,330.00,10.35
SCCH,2012-01-23 18:00,148.00,21.00,56.38,330.00,4.60
SCCH,2012-01-23 19:00,148.00,22.00,53.03,300.00,5.75
SCCH,2012-01-23 20:00,148.00,22.00,49.64,310.00,2.30
SCCH,2012-01-23 21:00,148.00,22.00,49.64,300.00,3.45
SCCH,2012-01-23 22:00,148.00,22.00,53.03,270.00,4.60
SCCH,2012-01-23 23:00,148.00,21.00,60.21,210.00,5.75
SCCH,2012-01-24 00:00,148.00,20.00,72.92,240.00,6.90
SCCH,2012-01-24 12:00,148.00,14.00,87.74,180.00,9.20
SCCH,2012-01-24 13:00,148.00,18.00,67.95,180.00,9.20
SCCH,2012-01-24 15:00,148.00,23.00,46.71,210.00,13.80
SCCH,2012-01-24 16:00,148.00,24.00,43.97,180.00,13.80
SCCH,2012-01-24 17:00,148.00,27.00,34.41,180.00,9.20
SCCH,2012-01-24 18:00,148.00,27.00,34.41,180.00,13.80
SCCH,2012-01-24 20:00,148.00,29.00,26.76,180.00,9.20
SCCH,2012-01-24 21:00,148.00,29.00,26.76,180.00,9.20
SCCH,2012-01-24 22:00,148.00,29.00,24.99,180.00,9.20
SCCH,2012-01-24 23:00,148.00,28.00,26.49,180.00,4.60
SCCH,2012-01-25 12:00,148.00,15.00,82.25,210.00,4.60
SCCH,2012-01-25 13:00,148.00,17.00,72.38,180.00,4.60
SCCH,2012-01-25 14:00,148.00,25.00,61.13,210.00,2.30
SCCH,2012-01-25 15:00,148.00,24.00,46.98,180.00,5.75
SCCH,2012-01-25 16:00,148.00,26.00,44.52,180.00,4.60
SCCH,2012-01-25 17:00,148.00,27.00,39.30,210.00,6.90
SCCH,2012-01-25 18:00,148.00,29.00,45.34,270.00,3.45
SCCH,2012-01-25 19:00,148.00,27.00,30.07,360.00,9.20
SCCH,2012-01-25 20:00,148.00,31.00,23.85,0.00,0.00
SCCH,2012-01-25 21:00,148.00,32.00,22.53,360.00,3.45
SCCH,2012-01-25 22:00,148.00,31.00,27.29,270.00,6.90
SCCH,2012-01-25 23:00,148.00,29.00,42.52,240.00,5.75
SCCH,2012-01-26 00:00,148.00,25.00,41.42,240.00,3.45
SCCH,2012-01-26 12:00,148.00,14.00,71.83,210.00,5.75
SCCH,2012-01-26 13:00,148.00,17.00,63.38,150.00,2.30
SCCH,2012-01-26 14:00,148.00,20.00,56.13,120.00,3.45
SCCH,2012-01-26 15:00,148.00,23.00,46.71,260.00,4.60
SCCH,2012-01-26 16:00,148.00,25.00,41.42,270.00,4.60
SCCH,2012-01-26 18:00,148.00,30.00,35.25,290.00,5.75
SCCH,2012-01-26 20:00,148.00,33.00,22.78,250.00,6.90
SCCH,2012-01-26 21:00,148.00,33.00,24.37,280.00,4.60
SCCH,2012-01-26 22:00,148.00,31.00,33.29,250.00,8.05
SCCH,2012-01-26 23:00,148.00,29.00,34.97,250.00,8.05
SCCH,2012-01-27 00:00,148.00,25.00,44.25,240.00,4.60
SCCH,2012-01-27 12:00,148.00,15.00,76.98,210.00,6.90
SCCH,2012-01-27 13:00,148.00,17.00,72.38,220.00,4.60
SCCH,2012-01-27 14:00,148.00,19.00,63.82,210.00,4.60
SCCH,2012-01-27 15:00,148.00,22.00,53.03,210.00,5.75
SCCH,2012-01-27 16:00,148.00,25.00,47.25,190.00,4.60
SCCH,2012-01-27 17:00,148.00,27.00,41.97,240.00,6.90
SCCH,2012-01-27 18:00,148.00,29.00,34.97,260.00,5.75
SCCH,2012-01-27 20:00,148.00,30.00,30.90,270.00,9.20
SCCH,2012-01-27 21:00,148.00,29.00,32.73,270.00,10.35
SCCH,2012-01-27 22:00,148.00,27.00,34.41,250.00,9.20
SCCH,2012-01-27 23:00,148.00,24.00,38.46,210.00,13.80
SCCH,2012-01-28 00:00,148.00,21.00,56.38,240.00,6.90
SCCH,2012-01-28 12:00,148.00,13.00,87.65,30.00,3.45
SCCH,2012-01-28 13:00,148.00,18.00,67.95,0.00,0.00
SCCH,2012-01-28 15:00,148.00,22.00,53.03,0.00,0.00
SCCH,2012-01-28 16:00,148.00,25.00,47.25,240.00,4.60
SCCH,2012-01-28 17:00,148.00,26.00,41.69,320.00,3.45
SCCH,2012-01-28 19:00,148.00,28.00,39.58,240.00,10.35
SCCH,2012-01-28 20:00,148.00,27.00,44.80,180.00,10.35
SCCH,2012-01-28 21:00,148.00,26.00,36.51,240.00,13.80
SCCH,2012-01-28 22:00,148.00,25.00,50.43,240.00,6.90
SCCH,2012-01-28 23:00,148.00,23.00,53.29,240.00,6.90
SCCH,2012-01-29 00:00,148.00,21.00,64.26,240.00,4.60
SCCH,2012-01-29 12:00,148.00,15.00,82.25,0.00,0.00
SCCH,2012-01-29 13:00,148.00,18.00,67.95,280.00,3.45
SCCH,2012-01-29 14:00,148.00,21.00,56.38,270.00,3.45
SCCH,2012-01-29 15:00,148.00,23.00,46.71,300.00,9.20
SCCH,2012-01-29 16:00,148.00,25.00,41.42,300.00,5.75
SCCH,2012-01-29 17:00,148.00,27.00,34.41,360.00,6.90
