station,valid,elevation,tmpc,relh,drct,sped
SKMD,2012-01-01 07:00,1499.00,M,M,M,M
SKMD,2012-01-01 08:00,1499.00,M,M,M,M
SKMD,2012-01-01 09:00,1499.00,M,M,M,M
SKMD,2012-01-01 10:00,1499.00,M,M,M,M
SKMD,2012-01-01 11:00,1499.00,18.00,88.09,0.00,0.00
SKMD,2012-01-01 12:00,1499.00,19.00,88.18,0.00,0.00
SKMD,2012-01-01 13:00,1499.00,20.00,77.75,0.00,0.00
SKMD,2012-01-01 14:00,1499.00,22.00,68.75,0.00,0.00
SKMD,2012-01-01 15:00,1499.00,23.00,68.94,310.00,6.90
SKMD,2012-01-01 16:00,1499.00,25.00,57.36,360.00,9.20
SKMD,2012-01-01 17:00,1499.00,27.00,47.79,360.00,9.20
SKMD,2012-01-01 18:00,1499.00,28.00,39.58,360.00,13.80
SKMD,2012-01-01 19:00,1499.00,29.00,39.86,360.00,13.80
SKMD,2012-01-01 20:00,1499.00,30.00,28.90,70.00,11.50
SKMD,2012-01-01 21:00,1499.00,30.00,27.03,70.00,18.40
SKMD,2012-01-01 22:00,1499.00,29.00,30.62,70.00,13.80
SKMD,2012-01-01 23:00,1499.00,28.00,32.46,90.00,13.80
SKMD,2012-01-02 00:00,1499.00,M,M,M,M
SKMD,2012-01-02 01:00,1499.00,M,M,M,M
SKMD,2012-01-02 02:00,1499.00,M,M,M,M
SKMD,2012-01-02 03:00,1499.00,M,M,M,M
SKMD,2012-01-02 04:00,1499.00,M,M,M,M
SKMD,2012-01-02 05:00,1499.00,M,M,M,M
SKMD,2012-01-02 06:00,1499.00,M,M,M,M
SKMD,2012-01-02 07:00,1499.00,M,M,M,M
SKMD,2012-01-02 08:00,1499.00,M,M,M,M
SKMD,2012-01-02 09:00,1499.00,M,M,M,M
SKMD,2012-01-02 10:00,1499.00,M,M,M,M
SKMD,2012-01-02 11:00,1499.00,19.00,82.74,0.00,0.00
SKMD,2012-01-02 12:00,1499.00,20.00,77.75,0.00,0.00
SKMD,2012-01-02 13:00,1499.00,21.00,73.09,0.00,0.00
SKMD,2012-01-02 14:00,1499.00,22.00,68.75,0.00,0.00
SKMD,2012-01-02 15:00,1499.00,23.00,64.69,0.00,0.00
SKMD,2012-01-02 16:00,1499.00,24.00,57.12,0.00,0.00
SKMD,2012-01-02 17:00,1499.00,25.00,53.80,0.00,0.00
SKMD,2012-01-02 18:00,1499.00,25.00,53.80,360.00,9.20
SKMD,2012-01-02 19:00,1499.00,25.00,57.36,360.00,11.50
SKMD,2012-01-02 20:00,1499.00,25.00,57.36,360.00,11.50
SKMD,2012-01-02 21:00,1499.00,25.00,61.13,240.00,9.20
SKMD,2012-01-02 22:00,1499.00,24.00,64.91,210.00,9.20
SKMD,2012-01-02 23:00,1499.00,24.00,64.91,0.00,0.00
SKMD,2012-01-03 00:00,1499.00,M,M,M,M
SKMD,2012-01-03 01:00,1499.00,M,M,M,M
SKMD,2012-01-03 02:00,1499.00,M,M,M,M
SKMD,2012-01-03 03:00,1499.00,M,M,M,M
SKMD,2012-01-03 04:00,1499.00,M,M,M,M
SKMD,2012-01-03 05:00,1499.00,M,M,M,M
SKMD,2012-01-03 06:00,1499.00,M,M,M,M
SKMD,2012-01-03 07:00,1499.00,M,M,M,M
SKMD,2012-01-03 08:00,1499.00,M,M,M,M
SKMD,2012-01-03 09:00,1499.00,M,M,M,M
SKMD,2012-01-03 10:00,1499.00,M,M,M,M
SKMD,2012-01-03 11:00,1499.00,19.00,88.18,0.00,0.00
SKMD,2012-01-03 12:00,1499.00,M,M,M,M
SKMD,2012-01-03 13:00,1499.00,20.00,77.75,0.00,0.00
SKMD,2012-01-03 14:00,1499.00,21.00,73.09,0.00,0.00
SKMD,2012-01-03 15:00,1499.00,22.00,68.75,0.00,0.00
SKMD,2012-01-03 16:00,1499.00,M,M,M,M
SKMD,2012-01-03 17:00,1499.00,25.00,50.43,0.00,0.00
SKMD,2012-01-03 18:00,1499.00,28.00,83.77,350.00,8.05
SKMD,2012-01-03 19:00,1499.00,24.00,57.12,30.00,13.80
SKMD,2012-01-03 20:00,1499.00,22.00,64.48,350.00,9.20
SKMD,2012-01-03 21:00,1499.00,19.00,82.74,30.00,9.20
SKMD,2012-01-03 22:00,1499.00,19.00,82.74,360.00,5.75
SKMD,2012-01-03 23:00,1499.00,18.00,82.62,0.00,0.00
SKMD,2012-01-04 00:00,1499.00,M,M,M,M
SKMD,2012-01-04 01:00,1499.00,M,M,M,M
