station,valid,elevation,tmpc,relh,drct,sped
SLET,2012-01-11 10:17,414.00,21.00,100.00,310.00,16.10
SLET,2012-01-11 11:18,414.00,22.00,100.00,330.00,11.50
SLET,2012-01-11 13:18,414.00,23.00,94.10,320.00,11.50
SLET,2012-01-12 10:29,414.00,21.00,100.00,180.00,6.90
SLET,2012-01-13 18:00,414.00,29.00,62.03,270.00,6.90
SLET,2012-01-18 20:27,414.00,30.00,66.15,180.00,26.45
SLET,2012-01-18 21:24,414.00,21.00,82.98,230.00,9.20
SLET,2012-01-19 10:31,414.00,23.00,88.51,0.00,0.00
SLET,2012-01-23 12:33,414.00,24.00,88.59,310.00,6.90
SLET,2012-01-24 10:14,414.00,24.00,88.59,330.00,9.20
SLET,2012-01-24 16:27,414.00,28.00,65.74,320.00,17.25
SLET,2012-01-24 21:00,414.00,29.00,62.03,320.00,17.25
SLET,2012-01-25 21:00,414.00,23.00,83.21,160.00,17.25
SLET,2012-01-27 13:00,414.00,23.00,73.44,170.00,10.35
SLET,2012-01-27 22:00,414.00,30.00,42.80,130.00,8.05
SLET,2012-01-31 16:00,414.00,30.00,66.15,320.00,20.70
SLET,2012-02-01 13:15,414.00,25.00,94.19,190.00,17.25
SLET,2012-02-01 14:19,414.00,22.00,94.06,180.00,5.75
SLET,2012-02-01 18:30,414.00,26.00,83.55,220.00,3.45
SLET,2012-02-04 10:30,414.00,23.00,94.10,360.00,6.90
SLET,2012-02-04 21:22,414.00,27.00,74.11,320.00,17.25
SLET,2012-02-05 13:26,414.00,26.00,78.62,320.00,17.25
SLET,2012-02-07 20:23,414.00,33.00,49.36,320.00,13.80
SLET,2012-02-08 11:15,414.00,24.00,88.59,330.00,14.95
SLET,2012-02-09 12:11,414.00,25.00,88.67,340.00,4.60
SLET,2012-02-09 15:26,414.00,27.00,78.76,180.00,17.25
SLET,2012-02-09 15:36,414.00,27.00,78.76,180.00,17.25
SLET,2012-02-10 10:11,414.00,22.00,94.06,150.00,17.25
SLET,2012-02-10 11:43,414.00,20.00,100.00,150.00,6.90
SLET,2012-02-10 17:30,414.00,25.00,78.48,90.00,9.20
SLET,2012-02-15 13:26,414.00,24.00,94.14,150.00,3.45
SLET,2012-02-17 12:39,414.00,23.00,94.10,350.00,6.90
SLET,2012-02-22 17:34,414.00,23.00,88.51,290.00,2.30
SLET,2012-02-23 13:39,414.00,23.00,94.10,330.00,6.90
SLET,2012-02-25 10:42,414.00,22.00,94.06,340.00,5.75
SLET,2012-02-28 10:22,414.00,23.00,94.10,340.00,9.20
SLET,2012-02-28 19:26,414.00,27.00,78.76,310.00,13.80
SLET,2012-02-29 12:13,414.00,22.00,94.06,340.00,17.25
SLET,2012-03-01 12:39,414.00,23.00,94.10,330.00,17.25
SLET,2012-03-01 14:21,414.00,23.00,94.10,320.00,11.50
SLET,2012-03-01 16:36,414.00,23.00,100.00,310.00,16.10
SLET,2012-03-02 10:37,414.00,21.00,94.01,150.00,5.75
SLET,2012-03-02 11:45,414.00,22.00,88.43,120.00,4.60
SLET,2012-03-02 12:11,414.00,22.00,88.43,140.00,4.60
SLET,2012-03-03 13:34,414.00,27.00,78.76,330.00,3.45
SLET,2012-03-05 16:19,414.00,31.00,55.29,350.00,17.25
SLET,2012-03-06 12:46,414.00,26.00,83.55,330.00,17.25
SLET,2012-03-07 13:31,414.00,25.00,83.44,180.00,3.45
SLET,2012-03-07 20:13,414.00,26.00,78.62,80.00,11.50
SLET,2012-03-08 21:37,414.00,32.00,46.14,140.00,21.85
SLET,2012-03-08 21:47,414.00,27.00,83.66,120.00,18.40
SLET,2012-03-08 22:34,414.00,22.00,100.00,40.00,11.50
SLET,2012-03-11 13:20,414.00,28.00,74.28,300.00,11.50
SLET,2012-03-13 13:22,414.00,27.00,78.76,340.00,17.25
SLET,2012-03-13 21:26,414.00,27.00,78.76,320.00,18.40
SLET,2012-03-14 10:36,414.00,23.00,88.51,320.00,11.50
SLET,2012-03-15 10:16,414.00,23.00,83.21,170.00,14.95
SLET,2012-03-15 15:00,414.00,26.00,69.52,160.00,17.25
SLET,2012-03-15 16:00,414.00,27.00,61.58,160.00,18.40
SLET,2012-03-15 17:00,414.00,27.00,61.58,160.00,11.50
SLET,2012-03-15 18:00,414.00,29.00,58.32,140.00,13.80
SLET,2012-03-15 19:00,414.00,30.00,51.72,140.00,13.80
SLET,2012-03-15 20:00,414.00,29.00,54.80,150.00,13.80
SLET,2012-03-19 17:10,414.00,28.00,78.90,350.00,17.25
SLET,2012-03-19 18:00,414.00,28.00,78.90,330.00,14.95
