station,valid,elevation,tmpc,relh,drct,sped
VGEG,2012-01-01 00:50,6.00,M,M,M,M
VGEG,2012-01-01 01:50,6.00,M,M,M,M
VGEG,2012-01-01 02:50,6.00,21.00,64.26,0.00,0.00
VGEG,2012-01-01 03:50,6.00,23.00,64.69,360.00,3.45
VGEG,2012-01-01 04:50,6.00,M,M,M,M
VGEG,2012-01-01 05:50,6.00,27.00,39.30,330.00,5.75
VGEG,2012-01-01 06:50,6.00,28.00,39.58,250.00,11.50
VGEG,2012-01-01 07:50,6.00,28.00,34.69,270.00,11.50
VGEG,2012-01-01 08:50,6.00,27.00,34.41,320.00,11.50
VGEG,2012-01-01 09:50,6.00,27.00,34.41,300.00,5.75
VGEG,2012-01-01 10:50,6.00,26.00,41.69,270.00,2.30
VGEG,2012-01-01 11:50,6.00,24.00,50.17,0.00,0.00
VGEG,2012-01-01 12:50,6.00,24.00,50.17,0.00,0.00
VGEG,2012-01-01 13:50,6.00,23.00,53.29,0.00,0.00
VGEG,2012-01-01 14:50,6.00,20.00,82.86,0.00,0.00
VGEG,2012-01-01 15:50,6.00,M,M,M,M
VGEG,2012-01-01 16:50,6.00,M,M,M,M
VGEG,2012-01-01 17:50,6.00,19.00,88.18,0.00,0.00
VGEG,2012-01-01 18:50,6.00,19.00,88.18,0.00,0.00
VGEG,2012-01-01 19:50,6.00,18.00,88.09,0.00,0.00
VGEG,2012-01-01 20:50,6.00,M,M,M,M
VGEG,2012-01-01 21:50,6.00,M,M,M,M
VGEG,2012-01-01 22:50,6.00,M,M,M,M
VGEG,2012-01-01 23:50,6.00,M,M,M,M
VGEG,2012-01-02 00:50,6.00,M,M,M,M
VGEG,2012-01-02 01:50,6.00,19.00,88.18,0.00,0.00
VGEG,2012-01-02 02:50,6.00,21.00,64.26,0.00,0.00
VGEG,2012-01-02 03:50,6.00,23.00,56.88,330.00,6.90
VGEG,2012-01-02 04:50,6.00,24.00,57.12,0.00,0.00
VGEG,2012-01-02 05:50,6.00,24.00,50.17,330.00,6.90
VGEG,2012-01-02 06:50,6.00,M,M,0.00,0.00
VGEG,2012-01-02 07:50,6.00,24.00,60.90,0.00,0.00
VGEG,2012-01-02 08:50,6.00,26.00,47.52,0.00,0.00
VGEG,2012-01-02 09:50,6.00,26.00,47.52,60.00,4.60
VGEG,2012-01-02 10:50,6.00,25.00,50.43,300.00,5.75
VGEG,2012-01-02 11:50,6.00,23.00,56.88,90.00,5.75
VGEG,2012-01-02 12:50,6.00,22.00,60.44,60.00,3.45
VGEG,2012-01-02 13:50,6.00,22.00,60.44,60.00,4.60
VGEG,2012-01-02 14:50,6.00,20.00,77.75,0.00,0.00
VGEG,2012-01-02 15:50,6.00,20.00,77.75,0.00,0.00
VGEG,2012-01-02 16:50,6.00,M,M,M,M
VGEG,2012-01-02 17:50,6.00,M,M,M,M
VGEG,2012-01-02 18:50,6.00,M,M,M,M
VGEG,2012-01-02 19:50,6.00,M,M,M,M
VGEG,2012-01-02 20:50,6.00,M,M,M,M
VGEG,2012-01-02 21:50,6.00,M,M,M,M
VGEG,2012-01-02 22:50,6.00,M,M,M,M
VGEG,2012-01-02 23:50,6.00,M,M,M,M
VGEG,2012-01-03 00:50,6.00,17.00,93.83,0.00,0.00
VGEG,2012-01-03 01:50,6.00,18.00,88.09,0.00,0.00
VGEG,2012-01-03 02:50,6.00,M,M,M,M
VGEG,2012-01-03 03:50,6.00,21.00,77.90,360.00,4.60
VGEG,2012-01-03 04:50,6.00,23.00,68.94,330.00,9.20
VGEG,2012-01-03 05:50,6.00,26.00,54.05,30.00,4.60
VGEG,2012-01-03 06:50,6.00,26.00,54.05,270.00,9.20
VGEG,2012-01-03 07:50,6.00,27.00,57.84,270.00,9.20
VGEG,2012-01-03 08:50,6.00,26.00,57.60,280.00,9.20
VGEG,2012-01-03 09:50,6.00,25.00,57.36,300.00,9.20
VGEG,2012-01-03 10:50,6.00,25.00,57.36,300.00,6.90
