station,valid,elevation,tmpc,relh,drct,sped
SECU,2012-02-08 20:24,2531.00,16.00,82.37,310.00,9.20
SECU,2012-02-08 21:15,2531.00,17.00,77.29,210.00,4.60
SECU,2012-02-09 12:25,2531.00,13.00,100.00,0.00,0.00
SECU,2012-02-09 13:42,2531.00,15.00,93.74,40.00,2.30
SECU,2012-02-11 00:33,2531.00,14.00,100.00,210.00,8.05
SECU,2012-02-11 19:07,2531.00,19.00,59.74,160.00,5.75
SECU,2012-02-11 19:49,2531.00,18.00,63.60,230.00,18.40
SECU,2012-02-11 20:02,2531.00,17.00,67.75,260.00,8.05
SECU,2012-02-11 20:28,2531.00,14.00,93.69,310.00,3.45
SECU,2012-02-12 19:29,2531.00,M,M,250.00,11.50
SECU,2012-02-13 19:49,2531.00,20.00,49.10,200.00,6.90
SECU,2012-02-13 20:42,2531.00,15.00,82.25,130.00,8.05
SECU,2012-02-14 19:11,2531.00,14.00,87.74,310.00,8.05
SECU,2012-02-14 19:50,2531.00,14.00,93.69,150.00,4.60
SECU,2012-02-15 23:36,2531.00,13.00,100.00,320.00,2.30
SECU,2012-02-16 12:36,2531.00,12.00,100.00,240.00,1.15
SECU,2012-02-17 12:30,2531.00,13.00,100.00,0.00,0.00
SECU,2012-02-18 12:12,2531.00,12.00,81.87,0.00,0.00
SECU,2012-02-18 19:19,2531.00,21.00,56.38,210.00,20.70
SECU,2012-02-19 21:39,2531.00,14.00,76.82,70.00,8.05
SECU,2012-02-20 12:40,2531.00,15.00,82.25,180.00,1.15
SECU,2012-02-20 12:49,2531.00,12.00,100.00,0.00,0.00
SECU,2012-02-21 12:33,2531.00,12.00,76.50,220.00,2.30
SECU,2012-02-22 12:20,2531.00,12.00,100.00,0.00,0.00
SECU,2012-02-26 19:51,2531.00,17.00,72.38,90.00,8.05
SECU,2012-02-26 20:17,2531.00,15.00,76.98,260.00,5.75
SECU,2012-02-26 20:35,2531.00,15.00,82.25,310.00,3.45
SECU,2012-02-27 12:32,2531.00,12.00,100.00,260.00,1.15
SECU,2012-02-27 13:25,2531.00,12.00,100.00,0.00,0.00
SECU,2012-02-27 14:30,2531.00,14.00,100.00,0.00,0.00
SECU,2012-02-27 15:15,2531.00,15.00,87.83,0.00,0.00
SECU,2012-02-28 11:23,2531.00,12.00,100.00,70.00,5.75
SECU,2012-02-28 12:40,2531.00,11.00,100.00,50.00,3.45
SECU,2012-02-28 13:32,2531.00,12.00,100.00,90.00,2.30
SECU,2012-02-28 22:21,2531.00,13.00,100.00,110.00,1.15
SECU,2012-02-28 23:08,2531.00,13.00,100.00,0.00,0.00
SECU,2012-02-29 00:35,2531.00,12.00,100.00,150.00,2.30
SECU,2012-02-29 13:10,2531.00,14.00,93.69,70.00,1.15
SECU,2012-02-29 19:09,2531.00,20.00,45.88,20.00,2.30
SECU,2012-02-29 19:19,2531.00,19.00,52.25,70.00,10.35
SECU,2012-02-29 19:35,2531.00,14.00,76.82,70.00,9.20
SECU,2012-03-01 13:26,2531.00,14.00,100.00,50.00,4.60
SECU,2012-03-07 11:12,2531.00,9.00,100.00,0.00,0.00
SECU,2012-03-07 13:04,2531.00,11.00,100.00,0.00,0.00
SECU,2012-03-10 01:24,2531.00,M,M,140.00,2.30
SECU,2012-03-10 11:43,2531.00,12.00,100.00,0.00,0.00
SECU,2012-03-10 12:34,2531.00,12.00,100.00,120.00,1.15
SECU,2012-03-10 13:17,2531.00,13.00,100.00,0.00,0.00
SECU,2012-03-10 15:38,2531.00,15.00,87.83,320.00,1.15
SECU,2012-03-11 12:23,2531.00,12.00,100.00,M,4.47
SECU,2012-03-11 15:18,2531.00,17.00,67.75,210.00,1.15
SECU,2012-03-12 13:13,2531.00,13.00,100.00,30.00,1.15
SECU,2012-03-15 00:12,2531.00,15.00,82.25,80.00,10.35
SECU,2012-03-15 00:22,2531.00,14.00,93.69,50.00,5.75
SECU,2012-03-15 00:38,2531.00,14.00,100.00,340.00,3.45
SECU,2012-03-15 12:42,2531.00,14.00,100.00,70.00,3.45
SECU,2012-03-15 13:25,2531.00,15.00,93.74,90.00,2.30
SECU,2012-03-16 00:00,2531.00,16.00,63.15,60.00,3.45
SECU,2012-03-16 01:00,2531.00,15.00,67.33,100.00,2.30
SECU,2012-03-16 02:00,2531.00,14.00,76.82,330.00,1.15
SECU,2012-03-16 11:00,2531.00,12.00,100.00,150.00,1.15
SECU,2012-03-16 12:00,2531.00,12.00,93.60,130.00,1.15
SECU,2012-03-16 13:00,2531.00,13.00,93.65,70.00,1.15
SECU,2012-03-16 14:00,2531.00,16.00,72.20,330.00,2.30
SECU,2012-03-16 15:00,2531.00,18.00,59.50,30.00,6.90
SECU,2012-03-16 16:00,2531.00,18.00,59.50,50.00,8.05
SECU,2012-03-16 17:00,2531.00,19.00,52.25,50.00,4.60
SECU,2012-03-16 18:00,2531.00,20.00,52.51,40.00,6.90
SECU,2012-03-16 19:00,2531.00,19.00,55.88,40.00,10.35
SECU,2012-03-16 20:00,2531.00,19.00,59.74,50.00,6.90
SECU,2012-03-16 21:00,2531.00,19.00,55.88,40.00,8.05
SECU,2012-03-16 22:00,2531.00,18.00,59.50,50.00,5.75
SECU,2012-03-16 23:00,2531.00,17.00,59.26,40.00,8.05
SECU,2012-03-17 00:00,2531.00,16.00,63.15,40.00,5.75
SECU,2012-03-17 01:00,2531.00,16.00,63.15,30.00,4.60
SECU,2012-03-17 02:00,2531.00,15.00,67.33,30.00,1.15
SECU,2012-03-17 11:00,2531.00,13.00,81.99,60.00,1.15
SECU,2012-03-17 12:00,2531.00,13.00,81.99,50.00,1.15
SECU,2012-03-17 13:00,2531.00,13.00,81.99,60.00,1.15
SECU,2012-03-17 14:00,2531.00,17.00,63.38,110.00,1.15
SECU,2012-03-17 15:00,2531.00,17.00,63.38,60.00,4.60
SECU,2012-03-17 16:00,2531.00,19.00,52.25,50.00,6.90
SECU,2012-03-17 17:00,2531.00,20.00,52.51,30.00,5.75
SECU,2012-03-17 18:00,2531.00,20.00,45.88,60.00,4.60
SECU,2012-03-17 19:00,2531.00,20.00,56.13,100.00,4.60
SECU,2012-03-17 20:00,2531.00,18.00,67.95,40.00,5.75
SECU,2012-03-17 21:00,2531.00,18.00,67.95,160.00,3.45
SECU,2012-03-17 22:00,2531.00,15.00,82.25,350.00,6.90
SECU,2012-03-17 23:00,2531.00,15.00,87.83,250.00,3.45
SECU,2012-03-18 00:00,2531.00,15.00,87.83,210.00,6.90
SECU,2012-03-18 01:00,2531.00,15.00,82.25,0.00,0.00
SECU,2012-03-18 02:00,2531.00,14.00,87.74,0.00,0.00
SECU,2012-03-18 11:00,2531.00,11.00,100.00,90.00,1.15
SECU,2012-03-18 12:00,2531.00,11.00,100.00,50.00,1.15
SECU,2012-03-18 13:00,2531.00,12.00,100.00,20.00,1.15
