station,valid,elevation,tmpc,relh,drct,sped
VQPR,2012-01-01 01:00,2235.00,-3.00,86.07,0.00,0.00
VQPR,2012-01-02 02:00,2235.00,1.00,100.00,0.00,0.00
VQPR,2012-01-05 04:30,2235.00,8.00,45.73,0.00,0.00
VQPR,2012-01-05 05:30,2235.00,8.00,42.44,100.00,4.60
VQPR,2012-01-06 01:00,2235.00,-2.00,86.18,0.00,0.00
VQPR,2012-01-06 02:30,2235.00,-1.00,86.28,M,2.30
VQPR,2012-01-06 06:30,2235.00,11.00,29.82,170.00,6.90
VQPR,2012-01-06 08:00,2235.00,11.00,29.82,150.00,13.80
VQPR,2012-01-06 09:00,2235.00,11.00,29.82,140.00,19.55
VQPR,2012-01-06 09:30,2235.00,11.00,29.82,130.00,20.70
VQPR,2012-01-07 03:30,2235.00,4.00,64.93,0.00,0.00
VQPR,2012-01-08 01:00,2235.00,-5.00,85.85,M,2.30
VQPR,2012-01-08 06:00,2235.00,8.00,31.28,M,3.45
VQPR,2012-01-08 08:30,2235.00,14.00,20.99,160.00,14.95
VQPR,2012-01-08 09:30,2235.00,12.00,23.93,150.00,14.95
VQPR,2012-01-11 02:00,2235.00,-2.00,86.18,0.00,0.00
VQPR,2012-01-11 03:30,2235.00,4.00,60.29,0.00,0.00
VQPR,2012-01-11 07:30,2235.00,9.00,24.99,150.00,11.50
VQPR,2012-01-13 01:00,2235.00,-7.00,85.63,M,1.15
VQPR,2012-01-13 08:30,2235.00,11.00,12.37,140.00,13.80
VQPR,2012-01-13 09:30,2235.00,10.00,21.59,140.00,17.25
VQPR,2012-01-15 01:00,2235.00,-7.00,79.16,0.00,0.00
VQPR,2012-01-15 01:30,2235.00,-8.00,85.51,M,1.15
VQPR,2012-01-15 04:30,2235.00,3.00,34.96,150.00,5.75
VQPR,2012-01-15 05:30,2235.00,8.00,22.81,140.00,3.45
VQPR,2012-01-15 07:00,2235.00,12.00,17.45,150.00,6.90
VQPR,2012-01-16 02:00,2235.00,-7.00,100.00,0.00,0.00
VQPR,2012-01-17 01:00,2235.00,2.00,93.08,0.00,0.00
